,City,Cost of Living Score,Safety Score,teleport_city_score
150,Manila,8.751999999999999,6.4345,45.87648648648649
151,Marseille,6.026000000000002,5.252,56.23148648648648
152,Medellin,9.315000000000001,7.477,52.440270270270275
153,Melbourne,4.798000000000001,7.1325,64.8881081081081
154,Memphis,5.829,2.8585000000000003,46.9977027027027
155,Mexico City,9.244,5.464000000000001,52.137027027027
156,Miami,4.497,4.321,57.09540540540541
157,Milan,4.801000000000001,7.378000000000001,57.7318918918919
158,Milwaukee,5.526,4.267,55.335675675675674
159,Minneapolis-Saint Paul,5.042000000000001,5.085000000000001,61.163648648648646
160,Minsk,9.289000000000001,9.038,56.25067567567568
161,Montevideo,6.197,5.9735000000000005,52.335
162,Montreal,5.948,7.822,68.85486486486488
163,Moscow,8.099,7.478,56.82391891891893
164,Mumbai,9.825,7.618500000000001,49.32351351351352
165,Munich,4.648,9.049000000000001,72.19067567567568
166,Nairobi,8.431999999999999,5.9719999999999995,40.51445945945945
167,Nantes,5.021,7.6355,58.27189189189189
168,Naples,5.81,6.389500000000002,49.92905405405406
169,Nashville,5.742000000000001,5.078,55.83432432432433
170,New Orleans,4.991999999999999,2.088,49.229189189189185
171,New York,2.342,7.022,67.27513513513514
172,Nice,4.475,7.234,59.05918918918921
173,Nicosia,6.301,8.102500000000001,54.07256756756757
174,Oklahoma City,6.394,4.6855,55.44851351351353
175,Omaha,5.994000000000001,5.5520000000000005,52.9468918918919
176,Orlando,5.284,4.134,55.471891891891914
177,Osaka,4.819,10.0,64.44554054054053
178,Oslo,1.0380000000000003,7.1065000000000005,64.31459459459458
179,Ottawa,6.027,8.4475,67.06972972972974
180,Oulu,0.0,8.458500000000003,58.018918918918914
181,Oxford,4.941000000000001,8.5685,64.9818918918919
182,Palo Alto,0.0,7.6370000000000005,52.918378378378385
183,Panama,0.0,6.976000000000001,41.57094594594595
184,Paris,3.664,6.2465,64.78743243243241
185,Perth,4.795,7.1045,60.41878378378376
186,Philadelphia,4.422000000000001,3.1329999999999996,56.2437837837838
187,Phnom Penh,8.001000000000001,6.684,40.31662162162162
188,Phoenix,6.208,2.5829999999999997,56.66256756756756
189,Phuket,7.602000000000001,5.7285,45.06986486486487
190,Pittsburgh,4.795,4.791,58.85837837837838
191,"Portland, ME",0.0,6.358499999999999,46.60932432432432
192,"Portland, OR",4.924,5.1805,60.32581081081081
193,Porto,7.422000000000001,7.704500000000001,61.32216216216217
194,Porto Alegre,8.120000000000001,5.2955,44.05797297297297
195,Prague,7.569,8.6595,64.15054054054055
196,Providence,0.0,6.846,50.9114864864865
197,Quebec,6.037,9.159500000000001,64.68310810810812
198,Quito,7.822,6.968999999999999,48.191351351351365
199,Raleigh,5.610000000000001,6.5225,62.51567567567569
200,Reykjavik,1.0,8.658,59.11932432432431
201,Richmond,5.949,3.3765,53.926756756756774
202,Riga,7.329,7.6255,58.917027027027025
203,Rio De Janeiro,7.751,5.2955,45.45878378378378
204,Riyadh,7.806000000000001,7.583000000000001,50.88608108108108
205,Rochester,5.4879999999999995,5.899,52.29013513513514
206,Rome,5.323,6.604500000000001,55.08729729729729
207,Rotterdam,4.934000000000001,8.268,64.95567567567565
208,Saint Petersburg,8.673,7.793000000000001,55.966756756756766
209,Salt Lake City,6.172000000000001,5.657,61.79513513513514
210,San Antonio,6.683,4.2165,56.70824324324324
211,San Diego,5.156000000000001,6.933,64.59310810810813
212,San Francisco Bay Area,2.618,5.7155000000000005,65.53635135135136
213,San Jose,6.728000000000001,6.7090000000000005,49.683513513513525
214,San Juan,5.9799999999999995,5.121000000000001,32.91783783783784
215,San Luis Obispo,0.0,8.058,50.006621621621626
216,San Salvador,7.7429999999999986,5.4025,38.64581081081081
217,Santiago,7.237,6.9645,59.10459459459461
218,Santo Domingo,8.076000000000002,5.779,43.80567567567566
219,Sao Paulo,7.823000000000001,5.2955,47.716891891891876
220,Sarajevo,8.659,7.132999999999999,48.12418918918919
221,Saskatoon,5.042000000000001,6.638000000000001,55.4191891891892
222,Seattle,3.79,5.6365,62.74189189189191
223,Seoul,3.698000000000001,8.305,66.28027027027026
224,Seville,6.961,8.929499999999999,59.89675675675675
225,Shanghai,7.179,7.2085,52.60499999999998
226,Singapore,3.4890000000000003,9.971499999999999,73.32743243243243
227,Skopje,9.110000000000001,7.2795,51.75486486486487
228,Sofia,8.55,7.5504999999999995,55.26216216216216
229,St. Louis,5.504,3.8805000000000005,58.587162162162166
230,Stockholm,4.36,6.8865,64.99675675675675
231,Stuttgart,5.673000000000002,8.269500000000003,62.84594594594595
232,Sydney,4.128,7.5710000000000015,64.38000000000001
233,Taipei,5.644,9.542,63.08648648648651
234,Tallinn,6.931000000000001,9.425500000000001,64.5916216216216
235,Tampa Bay Area,5.253,4.706499999999999,54.968513513513514
236,Tampere,4.622,8.689000000000002,62.972432432432434
237,Tartu,7.47,9.3765,61.13337837837838
238,Tashkent,0.0,8.9045,38.21743243243244
239,Tbilisi,9.765,9.506,57.144459459459455
240,Tehran,9.544,6.792999999999999,45.518108108108116
241,Tel Aviv,4.370000000000001,8.0065,59.70608108108109
242,The Hague,4.653,8.789000000000001,64.6308108108108
243,Thessaloniki,6.6000000000000005,7.992,54.96418918918919
244,Tokyo,3.431,10.0,70.50445945945947
245,Toronto,5.271,7.693500000000001,69.29972972972972
246,Toulouse,4.552,6.967,55.86797297297299
247,Tunis,9.998000000000001,8.291500000000001,49.47405405405405
248,Turin,5.612,6.252000000000001,52.118648648648666
249,Turku,5.07,9.175500000000001,64.57054054054055
250,Uppsala,5.442,7.850000000000001,59.68621621621624
251,Utrecht,4.604,8.631,66.26999999999998
252,Valencia,6.872,7.786499999999999,61.27256756756756
253,Valletta,0.0,8.518,45.63243243243244
254,Vancouver,5.259,7.5695,67.17567567567568
255,Victoria,5.703,7.808000000000001,63.09364864864866
256,Vienna,5.111,8.5965,68.09459459459461
257,Vilnius,7.5760000000000005,8.857,61.60297297297297
258,Warsaw,8.192,8.6995,59.09945945945946
259,"Washington, D.C.",3.5949999999999993,2.1915,57.50216216216215
260,Wellington,5.161,8.223,62.557027027027026
261,Winnipeg,5.882,6.0155,57.53810810810812
262,Wroclaw,8.434000000000001,8.165500000000002,53.167027027027025
263,Yerevan,9.431000000000001,8.873000000000001,55.574054054054066
264,Zagreb,7.193999999999999,8.6575,57.2587837837838
265,Zurich,1.0,9.0665,68.80797297297298
